
8,CUSTOM HOUSE QUAY,Custom House Quay,53.347884,-6.248048,OPEN,3,27,2018-03-12 19:51:43,
27,MOLESWORTH STREET,Molesworth Street,53.341288,-6.258117,OPEN,0,20,2018-03-12 19:43:58,
16,GEORGES QUAY,Georges Quay,53.347508,-6.252192,OPEN,17,3,2018-03-12 19:50:45,
96,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085,OPEN,11,19,2018-03-12 19:48:01,
82,MOUNT BROWN,Mount Brown,53.341645,-6.29719,OPEN,8,14,2018-03-12 19:47:54,
76,MARKET STREET SOUTH,Market Street South,53.342296,-6.287661,OPEN,14,24,2018-03-12 19:52:39,
71,KEVIN STREET,Kevin Street,53.337757,-6.267699,OPEN,10,30,2018-03-12 19:52:48,
79,ECCLES STREET EAST,Eccles Street East,53.358115,-6.265601,OPEN,5,22,2018-03-12 19:48:42,
69,GRAND CANAL DOCK,Grand Canal Dock,53.342638,-6.238695,OPEN,2,38,2018-03-12 19:53:19,
25,MERRION SQUARE EAST,Merrion Square East,53.339434,-6.246548,OPEN,3,27,2018-03-12 19:49:21,
51,YORK STREET WEST,York Street West,53.339334,-6.264699,OPEN,0,40,2018-03-12 19:52:52,
37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199,OPEN,0,30,2018-03-12 19:46:19,
59,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397,OPEN,1,19,2018-03-12 19:49:13,
95,ROYAL HOSPITAL,Royal Hospital,53.343897,-6.29706,OPEN,12,28,2018-03-12 19:49:28,
94,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,OPEN,36,4,2018-03-12 19:50:53,
36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337824,-6.256035,OPEN,1,39,2018-03-12 19:44:20,
93,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,OPEN,29,11,2018-03-12 19:50:41,
22,TOWNSEND STREET,Townsend Street,53.345922,-6.254614,OPEN,6,14,2018-03-12 19:51:55,
12,ECCLES STREET,Eccles Street,53.359246,-6.269779,OPEN,20,0,2018-03-12 19:52:36,
34,PORTOBELLO HARBOUR,Portobello Harbour,53.330362,-6.265163,OPEN,14,16,2018-03-12 19:51:54,
78,MATER HOSPITAL,Mater Hospital,53.359967,-6.264828,OPEN,25,15,2018-03-12 19:46:02,
2,BLESSINGTON STREET,Blessington Street,53.356769,-6.26814,OPEN,9,11,2018-03-12 19:43:40,
75,JAMES STREET,James Street,53.343456,-6.287409,OPEN,39,1,2018-03-12 19:52:29,
